Word,Everyday,Once or twice a week,Once or twice a month,Once or twice a year,Never
Curiosity,55,27,3,0,0
Discovery,34,28,6,0,1
Exploration,29,20,5,1,0
Learning,17,12,3,0,1
Fun,19,10,1,0,0
Understanding,15,8,1,0,0
Experiments,11,11,2,0,0
Questioning,16,6,2,0,0
Creativity,15,3,3,0,0
Innovation,11,5,4,0,1
Finding,12,6,2,0,0
Excitement,12,6,0,1,0
Thinking,12,5,3,0,0
Knowledge,3,13,0,1,0
Research,8,10,0,0,0
Investigating,8,9,0,0,0
Solving,10,5,1,0,0
Everything,11,3,0,0,0
Progress,3,7,1,0,0
Cool,4,5,1,1,0
